,words,tf,idf,tf-idf
1,zone,3.0,6.061456918928017,18.184370756784052
2,inspiration,2.0,4.046553898385752,8.093107796771504
3,getting,16.0,5.655991810819852,90.49586897311764
4,comfort,3.0,1.6486586255873816,4.9459758767621445
5,culture,166.0,3.288868196688236,545.9521206502471
6,exploring,32.0,6.754604099487962,216.1473311836148
7,warmer,2.0,6.754604099487962,13.509208198975925
8,swimming,1.0,2.3978952727983707,2.3978952727983707
9,food,78.0,6.754604099487962,526.859119760061
10,water,1.0,4.269697449699962,4.269697449699962
11,scenery,12.0,5.368309738368072,64.41971686041686
12,weather,4.0,6.061456918928017,24.245827675712068
13,wildlife,2.0,5.655991810819852,11.311983621639705
14,old,2.0,5.145166187053862,10.290332374107724
15,memory,5.0,3.353406717825807,16.767033589129035
16,nature,31.0,6.754604099487962,209.39272708412685
17,variety,1.0,4.189654742026425,4.189654742026425
18,every,5.0,2.385156247020941,11.925781235104704
19,world,79.0,2.7843121859358404,219.9606626889314
20,place,53.0,4.356708826689592,230.90556781454836
21,the,1.0,5.145166187053862,5.145166187053862
22,offer,5.0,6.754604099487962,33.77302049743981
23,single,1.0,4.356708826689592,4.356708826689592
24,country,11.0,4.557379522151743,50.13117474366918
25,know,6.0,6.754604099487962,40.52762459692777
26,aspect,1.0,5.655991810819852,5.655991810819852
27,look,1.0,6.754604099487962,6.754604099487962
28,continent,1.0,6.061456918928017,6.061456918928017
29,anna,2.0,4.269697449699962,8.539394899399923
30,work,12.0,1.4919139105830768,17.90296692699692
31,new,222.0,5.655991810819852,1255.6301820020071
32,better,3.0,4.356708826689592,13.070126480068776
33,home,11.0,5.655991810819852,62.21590991901837
34,can,4.0,6.754604099487962,27.01841639795185
35,anything,2.0,5.145166187053862,10.290332374107724
36,sense,6.0,6.754604099487962,40.52762459692777
37,greater,1.0,6.754604099487962,6.754604099487962
38,childlike,1.0,6.754604099487962,6.754604099487962
39,read,1.0,6.754604099487962,6.754604099487962
40,year,1.0,6.754604099487962,6.754604099487962
41,without,1.0,6.754604099487962,6.754604099487962
42,almost,1.0,3.199256037998549,3.199256037998549
43,life,31.0,4.962844630259907,153.84818353805713
44,everything,6.0,6.754604099487962,40.52762459692777
45,think,1.0,5.368309738368072,5.368309738368072
46,wonder,2.0,6.754604099487962,13.509208198975925
47,suddenly,1.0,6.754604099487962,6.754604099487962
48,existence,1.0,6.754604099487962,6.754604099487962
49,excites,1.0,6.754604099487962,6.754604099487962
50,endangering,1.0,6.754604099487962,6.754604099487962
51,ignorant,1.0,6.754604099487962,6.754604099487962
52,becomes,1.0,6.754604099487962,6.754604099487962
53,series,1.0,6.754604099487962,6.754604099487962
54,rudimentary,1.0,6.754604099487962,6.754604099487962
55,five,1.0,6.754604099487962,6.754604099487962
56,street,1.0,6.754604099487962,6.754604099487962
57,reliable,1.0,6.061456918928017,6.061456918928017
58,cross,1.0,4.962844630259907,4.962844630259907
59,interesting,6.0,6.754604099487962,40.52762459692777
60,whole,1.0,6.754604099487962,6.754604099487962
61,even,1.0,6.061456918928017,6.061456918928017
62,guess,2.0,4.675162557808126,9.350325115616252
63,wanderlust,8.0,6.061456918928017,48.491655351424136
64,adrenalin,2.0,6.754604099487962,13.509208198975925
65,rush,1.0,3.258096538021482,3.258096538021482
66,curiosity,33.0,5.368309738368072,177.15422136614637
67,boredom,4.0,5.655991810819852,22.62396724327941
68,amazing,3.0,6.754604099487962,20.263812298463886
69,picture,1.0,4.557379522151743,4.557379522151743
70,discovery,9.0,4.962844630259907,44.665601672339164
71,architecture,6.0,5.655991810819852,33.935950864919114
72,far,3.0,6.061456918928017,18.184370756784052
73,site,2.0,4.808693950432649,9.617387900865298
74,friend,6.0,6.754604099487962,40.52762459692777
75,geological,1.0,6.754604099487962,6.754604099487962
76,differ,1.0,4.962844630259907,4.962844630259907
77,good,6.0,6.754604099487962,40.52762459692777
78,question,1.0,6.754604099487962,6.754604099487962
79,domo,1.0,4.557379522151743,4.557379522151743
80,photography,9.0,4.046553898385752,36.41898508547177
81,beautiful,15.0,6.754604099487962,101.31906149231943
82,across,1.0,3.5357282746197614,3.5357282746197614
83,get,9.0,6.754604099487962,60.79143689539166
84,industry,1.0,5.368309738368072,5.368309738368072
85,need,3.0,6.754604099487962,20.263812298463886
86,utilize,1.0,6.754604099487962,6.754604099487962
87,discount,1.0,6.754604099487962,6.754604099487962
88,nothing,1.0,3.8642323415917974,3.8642323415917974
89,love,19.0,4.269697449699962,81.12425154429927
90,much,12.0,6.754604099487962,81.05524919385554
91,there,1.0,6.061456918928017,6.061456918928017
92,husband,2.0,2.747270914255491,5.494541828510982
93,adventure,54.0,4.675162557808126,252.4587781216388
94,relaxation,8.0,6.754604099487962,54.0368327959037
95,hiding,1.0,6.754604099487962,6.754604099487962
96,animal,1.0,6.754604099487962,6.754604099487962
97,else,1.0,4.046553898385752,4.046553898385752
98,relax,2.0,6.061456918928017,12.122913837856034
99,road,1.0,6.754604099487962,6.754604099487962
100,trip,1.0,6.754604099487962,6.754604099487962
101,diving,1.0,3.353406717825807,3.353406717825807
102,story,1.0,4.675162557808126,4.675162557808126
103,escape,8.0,6.754604099487962,54.0368327959037
104,tell,1.0,6.754604099487962,6.754604099487962
105,small,1.0,6.061456918928017,6.061456918928017
106,cheap,1.0,4.4520190064939165,4.4520190064939165
107,away,10.0,3.7100816617645394,37.10081661764539
108,sight,19.0,4.189654742026425,79.60344009850208
109,explore,13.0,3.5765502691400166,46.495153498820216
110,learning,24.0,6.061456918928017,145.47496605427241
111,knew,2.0,6.754604099487962,13.509208198975925
112,little,1.0,4.808693950432649,4.808693950432649
113,time,7.0,4.962844630259907,34.73991241181935
114,person,4.0,6.754604099487962,27.01841639795185
115,connecting,1.0,6.754604099487962,6.754604099487962
116,unknown,1.0,3.4965075614664802,3.4965075614664802
117,experiencing,26.0,6.754604099487962,175.61970658668702
118,vice,1.0,4.1155467698727035,4.1155467698727035
119,art,8.0,6.754604099487962,54.0368327959037
120,reference,1.0,6.061456918928017,6.061456918928017
121,understand,1.0,4.808693950432649,4.808693950432649
122,family,7.0,6.061456918928017,42.43019843249612
123,happiness,2.0,4.1155467698727035,8.231093539745407
124,freedom,14.0,6.754604099487962,94.56445739283147
125,pleasure,1.0,5.655991810819852,5.655991810819852
126,location,3.0,4.1155467698727035,12.34664030961811
127,scene,2.0,6.061456918928017,12.122913837856034
128,cool,2.0,3.921390755431746,7.842781510863492
129,eat,6.0,6.061456918928017,36.368741513568104
130,shit,2.0,4.675162557808126,9.350325115616252
131,day,7.0,4.557379522151743,31.901656655062204
132,desire,9.0,4.4520190064939165,40.068171058445245
133,beauty,10.0,4.046553898385752,40.46553898385752
134,meeting,15.0,2.9259627029988673,43.88944054498301
135,people,47.0,5.368309738368072,252.31055770329937
136,perspective,4.0,6.754604099487962,27.01841639795185
137,plus,1.0,6.754604099487962,6.754604099487962
138,student,1.0,6.754604099487962,6.754604099487962
139,management,1.0,5.655991810819852,5.655991810819852
140,tourism,3.0,4.962844630259907,14.888533890779721
141,outside,6.0,4.675162557808126,28.05097534684876
142,daily,8.0,4.675162557808126,37.40130046246501
143,routine,8.0,6.754604099487962,54.0368327959037
144,guide,1.0,6.061456918928017,6.061456918928017
145,foreign,2.0,5.368309738368072,10.736619476736143
146,tour,1.0,6.754604099487962,6.754604099487962
147,dont,2.0,4.189654742026425,8.37930948405285
148,landscape,13.0,6.061456918928017,78.79893994606422
149,around,2.0,6.754604099487962,13.509208198975925
150,ohio,1.0,6.754604099487962,6.754604099487962
151,extreme,1.0,3.982015377248181,3.982015377248181
152,want,13.0,1.4218853062225931,18.48450898089371
153,in,5.0,3.7100816617645394,18.550408308822696
154,exploration,21.0,6.754604099487962,141.8466860892472
155,sightseeing,1.0,6.754604099487962,6.754604099487962
156,instagram,1.0,4.962844630259907,4.962844630259907
157,ink,2.0,6.061456918928017,12.122913837856034
158,lifestyle,2.0,5.655991810819852,11.311983621639705
159,others,3.0,6.754604099487962,20.263812298463886
160,observing,1.0,6.754604099487962,6.754604099487962
161,wonderment,1.0,4.675162557808126,4.675162557808126
162,natural,8.0,6.061456918928017,48.491655351424136
163,addition,2.0,6.754604099487962,13.509208198975925
164,making,1.0,4.962844630259907,4.962844630259907
165,discovering,6.0,1.4612992747634699,8.767795648580819
166,or,1.0,3.5765502691400166,3.5765502691400166
167,meet,9.0,6.754604099487962,60.79143689539166
168,searching,1.0,6.061456918928017,6.061456918928017
169,wide,1.0,4.962844630259907,4.962844630259907
170,make,6.0,5.368309738368072,32.20985843020843
171,passion,4.0,4.808693950432649,19.234775801730596
172,change,6.0,3.8642323415917974,23.185394049550784
173,discover,3.0,6.754604099487962,20.263812298463886
174,leisure,1.0,6.754604099487962,6.754604099487962
175,communicating,1.0,3.3873082695014882,3.3873082695014882
176,history,28.0,6.754604099487962,189.12891478566294
177,design,1.0,6.754604099487962,6.754604099487962
178,primary,1.0,6.754604099487962,6.754604099487962
179,source,1.0,6.754604099487962,6.754604099487962
180,longing,1.0,6.754604099487962,6.754604099487962
181,cheaper,1.0,6.754604099487962,6.754604099487962
182,what,1.0,5.655991810819852,5.655991810819852
183,living,3.0,6.061456918928017,18.184370756784052
184,big,1.0,6.754604099487962,6.754604099487962
185,stay,1.0,6.754604099487962,6.754604099487962
186,put,1.0,6.754604099487962,6.754604099487962
187,recreation,1.0,6.754604099487962,6.754604099487962
188,being,1.0,4.675162557808126,4.675162557808126
189,break,6.0,4.356708826689592,26.140252960137552
190,joy,2.0,6.754604099487962,13.509208198975925
191,yes,1.0,5.368309738368072,5.368309738368072
192,feeling,4.0,6.754604099487962,27.01841639795185
193,girlfriend,1.0,6.754604099487962,6.754604099487962
194,pretty,1.0,6.754604099487962,6.754604099487962
195,exchange,1.0,5.655991810819852,5.655991810819852
196,cultural,3.0,3.1710851610318525,9.513255483095557
197,learn,12.0,6.754604099487962,81.05524919385554
198,humanity,1.0,6.754604099487962,6.754604099487962
199,treasure,1.0,3.8642323415917974,3.8642323415917974
200,try,2.0,5.145166187053862,10.290332374107724
201,one,2.0,5.368309738368072,10.736619476736143
202,use,1.0,6.754604099487962,6.754604099487962
203,lifetime,1.0,6.061456918928017,6.061456918928017
204,norm,1.0,6.754604099487962,6.754604099487962
205,completely,1.0,5.655991810819852,5.655991810819852
206,mostly,3.0,5.655991810819852,16.967975432459557
207,attraction,3.0,6.754604099487962,20.263812298463886
208,fortunate,1.0,6.754604099487962,6.754604099487962
209,enough,1.0,5.655991810819852,5.655991810819852
210,able,1.0,6.061456918928017,6.061456918928017
211,breaking,2.0,6.754604099487962,13.509208198975925
212,youngest,1.0,5.368309738368072,5.368309738368072
213,possible,4.0,5.655991810819852,22.62396724327941
214,many,3.0,4.808693950432649,14.426081851297948
215,like,8.0,5.145166187053862,41.161329496430895
216,part,3.0,6.754604099487962,20.263812298463886
217,opportunity,1.0,6.754604099487962,6.754604099487962
218,relic,1.0,6.061456918928017,6.061456918928017
219,alive,2.0,4.962844630259907,9.925689260519814
220,feel,2.0,6.754604099487962,13.509208198975925
221,goal,1.0,4.557379522151743,4.557379522151743
222,interest,3.0,6.061456918928017,18.184370756784052
223,somewhere,2.0,6.061456918928017,12.122913837856034
224,stress,2.0,6.754604099487962,13.509208198975925
225,relief,1.0,6.754604099487962,6.754604099487962
226,soulmate,1.0,4.675162557808126,4.675162557808126
227,travel,6.0,6.754604099487962,40.52762459692777
228,together,1.0,6.061456918928017,6.061456918928017
229,reach,2.0,6.061456918928017,12.122913837856034
230,visiting,2.0,6.754604099487962,13.509208198975925
231,goose,1.0,6.754604099487962,6.754604099487962
232,map,1.0,6.754604099487962,6.754604099487962
233,ecosystems,1.0,6.754604099487962,6.754604099487962
234,landscapes,1.0,6.754604099487962,6.754604099487962
235,religion,1.0,6.754604099487962,6.754604099487962
236,biggest,1.0,4.962844630259907,4.962844630259907
237,city,6.0,6.061456918928017,36.368741513568104
238,area,2.0,6.754604099487962,13.509208198975925
239,type,1.0,6.754604099487962,6.754604099487962
240,guy,1.0,6.754604099487962,6.754604099487962
241,kite,1.0,5.145166187053862,5.145166187053862
242,trying,5.0,6.754604099487962,33.77302049743981
243,promotes,1.0,5.145166187053862,5.145166187053862
244,grow,3.0,5.655991810819852,16.967975432459557
245,growth,3.0,6.754604099487962,20.263812298463886
246,always,1.0,6.061456918928017,6.061456918928017
247,personal,2.0,5.655991810819852,11.311983621639705
248,climate,3.0,6.754604099487962,20.263812298463886
249,exciting,1.0,5.145166187053862,5.145166187053862
250,visit,3.0,6.754604099487962,20.263812298463886
251,ardor,1.0,6.061456918928017,6.061456918928017
252,motivation,2.0,6.754604099487962,13.509208198975925
253,exposure,1.0,6.754604099487962,6.754604099487962
254,beyond,1.0,6.754604099487962,6.754604099487962
255,surroundings,1.0,6.754604099487962,6.754604099487962
256,usual,1.0,4.962844630259907,4.962844630259907
257,view,3.0,6.754604099487962,20.263812298463886
258,activity,1.0,5.655991810819852,5.655991810819852
259,wanting,3.0,6.754604099487962,20.263812298463886
260,hooked,1.0,6.754604099487962,6.754604099487962
261,got,1.0,6.754604099487962,6.754604099487962
262,india,1.0,6.754604099487962,6.754604099487962
263,square,1.0,6.754604099487962,6.754604099487962
264,moving,1.0,6.754604099487962,6.754604099487962
265,motivate,1.0,6.754604099487962,6.754604099487962
266,face,1.0,6.754604099487962,6.754604099487962
267,exhilarating,1.0,0.8938178760220965,0.8938178760220965
268,u,1.0,4.557379522151743,4.557379522151743
269,hit,1.0,5.368309738368072,5.368309738368072
270,mind,4.0,5.655991810819852,22.62396724327941
271,open,2.0,6.754604099487962,13.509208198975925
272,relaxrecharge,1.0,6.061456918928017,6.061456918928017
273,short,2.0,6.754604099487962,13.509208198975925
274,high,1.0,6.754604099487962,6.754604099487962
275,intensity,1.0,6.754604099487962,6.754604099487962
276,lived,1.0,6.754604099487962,6.754604099487962
277,wanderlusy,1.0,5.368309738368072,5.368309738368072
278,great,3.0,6.061456918928017,18.184370756784052
279,party,2.0,6.754604099487962,13.509208198975925
280,geocaching,1.0,6.754604099487962,6.754604099487962
281,via,1.0,6.754604099487962,6.754604099487962
282,sheer,1.0,6.754604099487962,6.754604099487962
283,provides,1.0,5.655991810819852,5.655991810819852
284,stuff,3.0,5.655991810819852,16.967975432459557
285,monotony,3.0,6.754604099487962,20.263812298463886
286,boring,1.0,6.754604099487962,6.754604099487962
287,normal,1.0,6.754604099487962,6.754604099487962
288,especially,1.0,6.754604099487962,6.754604099487962
289,vacation,1.0,6.754604099487962,6.754604099487962
290,heritage,1.0,6.754604099487962,6.754604099487962
291,context,1.0,6.061456918928017,6.061456918928017
292,etc,2.0,6.754604099487962,13.509208198975925
293,enjoying,1.0,4.557379522151743,4.557379522151743
294,something,9.0,6.754604099487962,60.79143689539166
295,used,1.0,6.061456918928017,6.061456918928017
296,become,1.0,6.754604099487962,6.754604099487962
297,boilerplate,1.0,6.754604099487962,6.754604099487962
298,education,1.0,6.061456918928017,6.061456918928017
299,quinine,2.0,5.655991810819852,11.311983621639705
300,planet,3.0,6.061456918928017,18.184370756784052
301,horizon,2.0,5.368309738368072,10.736619476736143
302,expanding,4.0,6.754604099487962,27.01841639795185
303,nice,1.0,6.754604099487962,6.754604099487962
304,environment,1.0,6.754604099487962,6.754604099487962
305,venturing,1.0,6.754604099487962,6.754604099487962
306,hill,1.0,6.061456918928017,6.061456918928017
307,museum,2.0,6.754604099487962,13.509208198975925
308,widening,1.0,6.754604099487962,6.754604099487962
309,happy,1.0,6.754604099487962,6.754604099487962
310,spending,1.0,6.754604099487962,6.754604099487962
311,enjoyable,1.0,4.557379522151743,4.557379522151743
312,enjoy,4.0,5.655991810819852,22.62396724327941
313,drink,3.0,4.962844630259907,14.888533890779721
314,expand,1.0,6.061456918928017,6.061456918928017
315,worldview,2.0,6.754604099487962,13.509208198975925
316,lot,1.0,6.754604099487962,6.754604099487962
317,into,1.0,6.754604099487962,6.754604099487962
318,soccer,1.0,6.754604099487962,6.754604099487962
319,game,1.0,6.754604099487962,6.754604099487962
320,mass,1.0,6.754604099487962,6.754604099487962
321,grumpy,1.0,6.754604099487962,6.754604099487962
322,politics,1.0,6.754604099487962,6.754604099487962
323,fresh,1.0,6.754604099487962,6.754604099487962
324,secret,1.0,6.061456918928017,6.061456918928017
325,traveling,2.0,6.754604099487962,13.509208198975925
326,sound,1.0,6.754604099487962,6.754604099487962
327,smell,1.0,6.754604099487962,6.754604099487962
328,taste,1.0,6.754604099487962,6.754604099487962
329,journey,1.0,6.754604099487962,6.754604099487962
330,immersing,1.0,5.655991810819852,5.655991810819852
331,escaping,3.0,6.754604099487962,20.263812298463886
332,dramatically,1.0,5.368309738368072,5.368309738368072
333,everyday,4.0,6.754604099487962,27.01841639795185
334,secluded,1.0,6.754604099487962,6.754604099487962
335,sighted,1.0,5.655991810819852,5.655991810819852
336,enjoyment,3.0,6.754604099487962,20.263812298463886
337,nostalgia,1.0,6.061456918928017,6.061456918928017
338,looking,3.0,6.754604099487962,20.263812298463886
339,absurdity,1.0,6.061456918928017,6.061456918928017
340,challenge,2.0,5.655991810819852,11.311983621639705
341,taking,3.0,6.754604099487962,20.263812298463886
342,takefind,1.0,5.655991810819852,5.655991810819852
343,eating,2.0,6.754604099487962,13.509208198975925
344,wouldn,1.0,6.754604099487962,6.754604099487962
345,prospect,1.0,6.754604099487962,6.754604099487962
346,necessarily,1.0,6.754604099487962,6.754604099487962
347,grind,1.0,6.754604099487962,6.754604099487962
348,stranger,1.0,6.754604099487962,6.754604099487962
349,share,1.0,6.754604099487962,6.754604099487962
350,similarity,1.0,6.754604099487962,6.754604099487962
351,historyart,1.0,6.754604099487962,6.754604099487962
352,liberating,1.0,6.754604099487962,6.754604099487962
353,hate,1.0,6.754604099487962,6.754604099487962
354,delicious,1.0,5.368309738368072,5.368309738368072
355,relaxing,4.0,6.754604099487962,27.01841639795185
356,shaking,1.0,6.754604099487962,6.754604099487962
357,broadening,1.0,4.189654742026425,4.189654742026425
358,way,2.0,4.808693950432649,9.617387900865298
359,live,4.0,6.754604099487962,27.01841639795185
360,monument,1.0,5.655991810819852,5.655991810819852
361,landmarks,3.0,6.061456918928017,18.184370756784052
362,knowledge,2.0,6.061456918928017,12.122913837856034
363,fulfillment,1.0,6.754604099487962,6.754604099487962
364,chance,1.0,6.754604099487962,6.754604099487962
365,including,1.0,6.754604099487962,6.754604099487962
366,educate,1.0,5.655991810819852,5.655991810819852
367,historical,3.0,6.754604099487962,20.263812298463886
368,reason,1.0,6.754604099487962,6.754604099487962
369,insignificance,1.0,6.754604099487962,6.754604099487962
370,society,1.0,6.754604099487962,6.754604099487962
371,understanding,1.0,6.754604099487962,6.754604099487962
372,business,1.0,6.754604099487962,6.754604099487962
373,truly,1.0,5.655991810819852,5.655991810819852
374,sea,1.0,6.754604099487962,6.754604099487962
375,general,1.0,6.754604099487962,6.754604099487962
376,wonderlust,1.0,6.754604099487962,6.754604099487962
377,adventurer,1.0,6.754604099487962,6.754604099487962
378,native,1.0,6.754604099487962,6.754604099487962
379,that,1.0,6.754604099487962,6.754604099487962
380,selffulfillment,1.0,6.754604099487962,6.754604099487962
381,mundane,1.0,6.754604099487962,6.754604099487962
382,kick,1.0,6.754604099487962,6.754604099487962
383,low,1.0,6.754604099487962,6.754604099487962
384,budget,1.0,4.4520190064939165,4.4520190064939165
385,photo,1.0,6.754604099487962,6.754604099487962
386,doesn,1.0,6.754604099487962,6.754604099487962
387,science,1.0,6.754604099487962,6.754604099487962
388,genetic,1.0,6.754604099487962,6.754604099487962
389,according,1.0,4.4520190064939165,4.4520190064939165
390,go,1.0,6.754604099487962,6.754604099487962
391,regardless,1.0,6.754604099487962,6.754604099487962
392,crazy,1.0,6.754604099487962,6.754604099487962
393,also,1.0,6.754604099487962,6.754604099487962
394,never,1.0,6.754604099487962,6.754604099487962
395,lead,1.0,6.061456918928017,6.061456918928017
396,would,1.0,6.754604099487962,6.754604099487962
397,situation,1.0,6.754604099487962,6.754604099487962
398,hata,1.0,6.754604099487962,6.754604099487962
399,interact,1.0,6.754604099487962,6.754604099487962
400,well,1.0,6.754604099487962,6.754604099487962
401,spirit,1.0,3.982015377248181,3.982015377248181
402,free,2.0,6.754604099487962,13.509208198975925
403,excitement,1.0,6.754604099487962,6.754604099487962
404,strong,1.0,6.754604099487962,6.754604099487962
405,another,1.0,6.754604099487962,6.754604099487962
406,foooood,1.0,6.754604099487962,6.754604099487962
407,fiance,1.0,6.754604099487962,6.754604099487962
408,expanded,1.0,6.754604099487962,6.754604099487962
409,opening,1.0,5.368309738368072,5.368309738368072
410,historic,1.0,6.754604099487962,6.754604099487962
411,disconcerting,1.0,6.754604099487962,6.754604099487962
412,sport,1.0,6.754604099487962,6.754604099487962
413,recommendation,1.0,6.754604099487962,6.754604099487962
414,seeking,1.0,6.754604099487962,6.754604099487962
415,research,1.0,6.754604099487962,6.754604099487962
416,destination,1.0,6.754604099487962,6.754604099487962
417,monotonous,1.0,5.145166187053862,5.145166187053862
418,bored,1.0,6.754604099487962,6.754604099487962
419,creating,1.0,6.754604099487962,6.754604099487962
420,language,1.0,6.754604099487962,6.754604099487962
421,woman,1.0,6.754604099487962,6.754604099487962
422,music,1.0,6.754604099487962,6.754604099487962
423,bonus,1.0,6.754604099487962,6.754604099487962
424,newness,1.0,6.754604099487962,6.754604099487962
425,snowboarding,1.0,6.754604099487962,6.754604099487962
426,beer,1.0,6.754604099487962,6.754604099487962
427,needed,1.0,6.754604099487962,6.754604099487962
428,viewpoint,1.0,6.754604099487962,6.754604099487962
429,thrill,1.0,6.754604099487962,6.754604099487962
430,rut,1.0,6.754604099487962,6.754604099487962
431,ignorance,1.0,6.061456918928017,6.061456918928017
432,find,1.0,6.754604099487962,6.754604099487962
433,killing,1.0,6.754604099487962,6.754604099487962
434,fear,1.0,6.754604099487962,6.754604099487962
435,unique,1.0,6.061456918928017,6.061456918928017
436,custom,1.0,6.754604099487962,6.754604099487962
437,sitting,1.0,6.061456918928017,6.061456918928017
438,point,1.0,6.754604099487962,6.754604099487962
439,changing,1.0,6.754604099487962,6.754604099487962
440,winter,1.0,6.754604099487962,6.754604099487962
441,cold,1.0,6.061456918928017,6.061456918928017
442,long,1.0,6.754604099487962,6.754604099487962
443,immediate,1.0,6.061456918928017,6.061456918928017
444,surrounding,1.0,6.754604099487962,6.754604099487962
445,accustomed,1.0,,
0,,,5.655991810819852,
