index,words,tf,idf,tfidf
0,pay,3.0,5.655991810819852,16.967975432459557
1,way,3.0,5.145166187053862,15.435498561161586
2,multiple,3.0,5.655991810819852,16.967975432459557
4,flexible,33.0,3.258096538021482,107.5171857547089
5,stay,12.0,4.269697449699962,51.23636939639954
6,watch,2.0,6.061456918928017,12.122913837856034
7,walking,2.0,6.061456918928017,12.122913837856034
8,car,4.0,3.8101651203215217,15.240660481286087
9,place,6.0,4.962844630259907,29.777067781559442
10,trip,7.0,4.808693950432649,33.66085765302854
11,cheap,8.0,4.675162557808126,37.40130046246501
12,lot,2.0,4.962844630259907,9.925689260519814
13,walk,4.0,4.962844630259907,19.851378521039628
14,live,4.0,5.368309738368072,21.473238953472286
15,explore,5.0,5.145166187053862,25.725830935269308
16,fun,10.0,4.4520190064939165,44.520190064939165
17,rush,2.0,6.061456918928017,12.122913837856034
19,much,10.0,4.4520190064939165,44.520190064939165
20,book,3.0,5.655991810819852,16.967975432459557
21,couple,2.0,6.061456918928017,12.122913837856034
22,enjoy,13.0,4.189654742026425,54.46551164634353
23,plan,48.0,2.862783801377336,137.41362246611212
24,moment,5.0,5.145166187053862,25.725830935269308
25,people,7.0,4.808693950432649,33.66085765302854
26,open,13.0,3.982015377248181,51.766199904226355
27,airport,3.0,5.655991810819852,16.967975432459557
28,buy,4.0,5.368309738368072,21.473238953472286
29,toilet,2.0,6.061456918928017,12.122913837856034
30,save,3.0,5.655991810819852,16.967975432459557
31,food,10.0,4.4520190064939165,44.520190064939165
32,slow,4.0,5.368309738368072,21.473238953472286
33,work,3.0,5.655991810819852,16.967975432459557
34,gas,2.0,6.061456918928017,12.122913837856034
35,download,2.0,6.061456918928017,12.122913837856034
36,map,7.0,4.962844630259907,34.73991241181935
37,without,2.0,6.061456918928017,12.122913837856034
38,think,4.0,5.368309738368072,21.473238953472286
39,money,10.0,4.4520190064939165,44.520190064939165
40,need,3.0,5.655991810819852,16.967975432459557
41,regret,2.0,6.061456918928017,12.122913837856034
42,might,2.0,6.061456918928017,12.122913837856034
43,time,15.0,4.189654742026425,62.844821130396376
44,leave,9.0,4.557379522151743,41.01641569936569
45,spontaneity,2.0,6.061456918928017,12.122913837856034
46,rent,2.0,4.675162557808126,9.350325115616252
47,start,2.0,6.061456918928017,12.122913837856034
48,traveling,3.0,5.655991810819852,16.967975432459557
49,stop,2.0,6.061456918928017,12.122913837856034
50,use,9.0,4.557379522151743,41.01641569936569
51,fine,2.0,6.061456918928017,12.122913837856034
52,comfort,6.0,4.675162557808126,28.05097534684876
53,zone,5.0,5.145166187053862,25.725830935269308
54,risk,2.0,6.061456918928017,12.122913837856034
55,see,6.0,4.675162557808126,28.05097534684876
56,something,6.0,4.962844630259907,29.777067781559442
57,one,6.0,0.7531892215268122,4.519135329160873
58,put,2.0,6.061456918928017,12.122913837856034
59,away,2.0,6.061456918928017,12.122913837856034
60,phone,4.0,5.368309738368072,21.473238953472286
61,beaten,7.0,4.808693950432649,33.66085765302854
62,mind,4.0,4.808693950432649,19.234775801730596
63,good,5.0,5.145166187053862,25.725830935269308
64,shoe,4.0,5.368309738368072,21.473238953472286
65,pack,27.0,3.258096538021482,87.96860652658002
66,light,24.0,3.320616895002816,79.69480548006759
67,curious,3.0,5.655991810819852,16.967975432459557
68,yes,5.0,5.145166187053862,25.725830935269308
69,say,6.0,4.962844630259907,29.777067781559442
70,wont,2.0,6.061456918928017,12.122913837856034
71,want,4.0,5.368309738368072,21.473238953472286
72,back,5.0,4.557379522151743,22.786897610758714
73,le,10.0,2.2220046063347065,22.220046063347066
74,local,24.0,3.5765502691400166,85.8372064593604
75,destination,5.0,5.145166187053862,25.725830935269308
76,pick,2.0,6.061456918928017,12.122913837856034
77,weight,2.0,6.061456918928017,12.122913837856034
78,experience,18.0,3.8642323415917974,69.55618214865235
79,let,4.0,4.675162557808126,18.700650231232505
80,new,10.0,4.4520190064939165,44.520190064939165
81,lost,7.0,4.808693950432649,33.66085765302854
82,carry,7.0,4.962844630259907,34.73991241181935
83,relax,12.0,4.269697449699962,51.23636939639954
84,prepared,8.0,4.962844630259907,39.702757042079256
85,travel,19.0,3.6191098835588127,68.76308778761744
86,drink,6.0,4.962844630259907,29.777067781559442
87,water,4.0,5.368309738368072,21.473238953472286
88,bottle,3.0,5.655991810819852,16.967975432459557
89,card,5.0,5.145166187053862,25.725830935269308
90,credit,3.0,5.655991810819852,16.967975432459557
91,flight,5.0,5.368309738368072,26.84154869184036
92,point,4.0,5.368309738368072,21.473238953472286
93,long,4.0,5.368309738368072,21.473238953472286
94,attraction,2.0,6.061456918928017,12.122913837856034
95,afraid,11.0,4.356708826689592,47.923797093585506
96,break,2.0,6.061456918928017,12.122913837856034
97,everything,10.0,4.4520190064939165,44.520190064939165
98,make,7.0,4.808693950432649,33.66085765302854
99,effort,2.0,6.061456918928017,12.122913837856034
100,research,28.0,3.4587672334836332,96.84548253754173
101,find,4.0,5.368309738368072,21.473238953472286
102,keep,6.0,4.962844630259907,29.777067781559442
103,well,4.0,5.368309738368072,21.473238953472286
104,fuck,2.0,6.061456918928017,12.122913837856034
105,change,4.0,5.368309738368072,21.473238953472286
106,self,2.0,6.061456918928017,12.122913837856034
107,day,7.0,4.962844630259907,34.73991241181935
108,eat,13.0,3.8101651203215217,49.53214656417978
109,around,3.0,5.655991810819852,16.967975432459557
110,native,2.0,6.061456918928017,12.122913837856034
111,best,5.0,5.145166187053862,25.725830935269308
112,backpack,4.0,5.368309738368072,21.473238953472286
113,free,3.0,5.655991810819852,16.967975432459557
114,tour,2.0,4.356708826689592,8.713417653379183
115,little,5.0,5.145166187053862,25.725830935269308
116,flow,15.0,4.046553898385752,60.69830847578628
117,wing,2.0,6.061456918928017,12.122913837856034
118,idea,2.0,6.061456918928017,12.122913837856034
119,somewhere,4.0,5.368309738368072,21.473238953472286
120,worry,6.0,4.962844630259907,29.777067781559442
121,never,9.0,4.557379522151743,41.01641569936569
122,important,2.0,6.061456918928017,12.122913837856034
123,you,6.0,4.356708826689592,26.140252960137552
124,itinerant,3.0,5.655991810819852,16.967975432459557
125,alert,2.0,6.061456918928017,12.122913837856034
126,follow,2.0,6.061456918928017,12.122913837856034
127,city,6.0,4.962844630259907,29.777067781559442
128,spontaneous,5.0,5.145166187053862,25.725830935269308
129,bring,10.0,4.557379522151743,45.57379522151743
130,blend,2.0,6.061456918928017,12.122913837856034
131,hotel,4.0,5.368309738368072,21.473238953472286
132,outside,2.0,6.061456918928017,12.122913837856034
133,big,3.0,5.655991810819852,16.967975432459557
134,restaurant,2.0,6.061456918928017,12.122913837856034
135,smart,2.0,6.061456918928017,12.122913837856034
136,arrived,2.0,6.061456918928017,12.122913837856034
137,better,6.0,5.368309738368072,32.20985843020843
138,allow,3.0,5.655991810819852,16.967975432459557
139,every,4.0,4.1155467698727035,16.462187079490814
140,stuff,6.0,5.145166187053862,30.87099712232317
141,small,6.0,5.145166187053862,30.87099712232317
142,safe,5.0,5.145166187053862,25.725830935269308
143,worst,2.0,6.061456918928017,12.122913837856034
144,island,2.0,6.061456918928017,12.122913837856034
145,talk,7.0,4.808693950432649,33.66085765302854
146,even,3.0,5.655991810819852,16.967975432459557
147,your,5.0,5.145166187053862,25.725830935269308
148,roll,2.0,6.061456918928017,12.122913837856034
149,wrong,3.0,5.655991810819852,16.967975432459557
150,look,6.0,4.962844630259907,29.777067781559442
151,beforehand,4.0,5.368309738368072,21.473238953472286
152,stick,3.0,5.655991810819852,16.967975432459557
153,arrive,4.0,4.962844630259907,19.851378521039628
154,site,2.0,6.061456918928017,12.122913837856034
155,early,5.0,5.145166187053862,25.725830935269308
156,budget,2.0,6.061456918928017,12.122913837856034
157,comfortable,2.0,6.061456918928017,12.122913837856034
158,many,5.0,5.145166187053862,25.725830935269308
159,tourist,9.0,4.557379522151743,41.01641569936569
160,improvised,2.0,6.061456918928017,12.122913837856034
161,different,4.0,5.368309738368072,21.473238953472286
162,hostel,5.0,5.145166187053862,25.725830935269308
163,push,2.0,6.061456918928017,12.122913837856034
164,meet,4.0,5.368309738368072,21.473238953472286
165,expect,3.0,4.675162557808126,14.02548767342438
166,luggage,4.0,5.368309738368072,21.473238953472286
167,trust,2.0,6.061456918928017,12.122913837856034
168,forget,2.0,6.061456918928017,12.122913837856034
169,etc,2.0,6.061456918928017,12.122913837856034
170,bar,2.0,6.061456918928017,12.122913837856034
171,extra,3.0,5.655991810819852,16.967975432459557
172,planned,2.0,6.061456918928017,12.122913837856034
173,stray,2.0,6.061456918928017,12.122913837856034
174,jetlag,2.0,6.061456918928017,12.122913837856034
175,path,6.0,4.962844630259907,29.777067781559442
176,part,3.0,5.655991810819852,16.967975432459557
177,half,4.0,5.368309738368072,21.473238953472286
178,scar,2.0,6.061456918928017,12.122913837856034
179,photo,2.0,6.061456918928017,12.122913837856034
180,area,2.0,6.061456918928017,12.122913837856034
181,visit,2.0,6.061456918928017,12.122913837856034
182,night,4.0,5.368309738368072,21.473238953472286
183,overland,3.0,5.655991810819852,16.967975432459557
184,location,3.0,5.655991810819852,16.967975432459557
185,bad,2.0,6.061456918928017,12.122913837856034
186,flexibility,3.0,5.655991810819852,16.967975432459557
187,others,2.0,6.061456918928017,12.122913837856034
188,short,2.0,6.061456918928017,12.122913837856034
189,life,3.0,5.655991810819852,16.967975432459557
190,picture,3.0,5.655991810819852,16.967975432459557
191,friendly,2.0,6.061456918928017,12.122913837856034
192,bag,3.0,5.655991810819852,16.967975432459557
193,lax,2.0,4.1155467698727035,8.231093539745407
194,activity,2.0,6.061456918928017,12.122913837856034
195,carron,2.0,6.061456918928017,12.122913837856034
196,check,3.0,5.655991810819852,16.967975432459557
197,trail,2.0,6.061456918928017,12.122913837856034
198,going,2.0,6.061456918928017,12.122913837856034
199,culture,3.0,5.655991810819852,16.967975432459557
200,immense,2.0,6.061456918928017,12.122913837856034
201,solo,2.0,6.061456918928017,12.122913837856034
202,expectation,4.0,5.368309738368072,21.473238953472286
203,that,2.0,6.061456918928017,12.122913837856034
204,okay,2.0,6.061456918928017,12.122913837856034
205,unexpected,2.0,6.061456918928017,12.122913837856034
206,first,2.0,6.061456918928017,12.122913837856034
207,package,2.0,6.061456918928017,12.122913837856034
208,sure,2.0,6.061456918928017,12.122913837856034
209,goose,4.0,5.368309738368072,21.473238953472286
210,stand,2.0,6.061456918928017,12.122913837856034
211,someone,2.0,6.061456918928017,12.122913837856034
212,style,2.0,6.061456918928017,12.122913837856034
213,friend,4.0,4.962844630259907,19.851378521039628
214,rental,2.0,6.061456918928017,12.122913837856034
215,insurance,2.0,6.061456918928017,12.122913837856034
216,fly,2.0,6.061456918928017,12.122913837856034
217,stupid,2.0,6.061456918928017,12.122913837856034
218,like,6.0,4.962844630259907,29.777067781559442
219,act,3.0,4.808693950432649,14.426081851297948
220,fewer,2.0,6.061456918928017,12.122913837856034
221,lightly,3.0,5.655991810819852,16.967975432459557
222,possible,4.0,5.368309738368072,21.473238953472286
223,enough,2.0,6.061456918928017,12.122913837856034
224,clothes,4.0,5.368309738368072,21.473238953472286
225,double,2.0,6.061456918928017,12.122913837856034
226,camera,2.0,6.061456918928017,12.122913837856034
227,stress,3.0,5.655991810819852,16.967975432459557
228,learn,2.0,6.061456918928017,12.122913837856034
229,language,2.0,6.061456918928017,12.122913837856034
230,rest,2.0,5.368309738368072,10.736619476736143
231,panic,3.0,5.655991810819852,16.967975432459557
232,openminded,3.0,5.655991810819852,16.967975432459557
233,wear,2.0,6.061456918928017,12.122913837856034
234,anything,2.0,6.061456918928017,12.122913837856034
235,journal,2.0,6.061456918928017,12.122913837856034
236,know,2.0,6.061456918928017,12.122913837856034
237,wallet,2.0,6.061456918928017,12.122913837856034
238,seek,2.0,6.061456918928017,12.122913837856034
239,cut,2.0,6.061456918928017,12.122913837856034
240,street,2.0,6.061456918928017,12.122913837856034
241,choose,2.0,6.061456918928017,12.122913837856034
242,travelling,2.0,6.061456918928017,12.122913837856034
243,behind,2.0,6.061456918928017,12.122913837856034
